서명,저자,출판사,발행년,자료유형,소장처
미국 신탁 및 유언법,강병진,법률신문사,2024,단행본,법학전문도서관 단행본서가 [LA 346.73054 강44ㅁ]정리중
경쟁법 : 독점규제 및 공정거래 / 2판 전면개정판,김두진,동방문화사,2024,단행본,법학전문도서관 단행본서가 [LA 343.51907 김227ㄱ]정리중
(2024년 제25회) 젊은평론가상 수상작품집,안서연,작가,2024,단행본,2관5층 일반도서 [811.09 젊68 2024]대출중
무의식은 어떻게 나를 설계하는가,"Eagleman, David",알에이치코리아,2024,단행본,1관3층 일반도서 [153 E11in K]대출중
말의 힘,윤석금,리더스북 : 웅진씽크빅,2024,단행본,2관4층 일반도서 [650.1 윤532ㅁ]대출중
The singularity is nearer,"Kurzweil, Ray",Viking,2024,단행본,2관4층 일반도서 [612.82 K96s]대출중
러브 섬바디,"Roasek, Rachel",폭스코너,2024,단행본,2관6층 일반도서 [823.92 R6281 l K]정리중
1984,"Orwell, George",올리버 : 탐나는책,2024,단행본,2관6층 일반도서 [827.9 O 79n K/2024b]정리중
"9 Voices, 9 Values",서유나,창조와지식,2024,단행본,2관5층 일반도서 [811.8808 N714]정리중
유산시리즈,"Jemisin, N. K.",황금가지 : 민음인,2024,단행본,2관6층 일반도서 [823.92 J49i K]정리중
프랭크 허버트 단편 걸작선,"Herbert, Frank",황금가지 : 민음인,2024,단행본,2관6층 일반도서 [823.914 H537 K/2024]정리중
에스겔·호세아 연구 입문,"Davies, Philip R.",CLC : 기독교문서선교회,2024,단행본,1관3층 일반도서 [224.4 D257e K]정리중
이집트 상형문자 필사 노트,유성환,휴머니스트출판그룹,2024,단행본,2관4층 일반도서 [493.1 유53ㅇ]정리중
Catholics and violence in the nineteenth-century global world,"Bouwers, Eveline G.",Routledge,2024,단행본,1관3층 일반도서 [261.83 C3635]정리중
Foucault and the history of philosophical transcendence,"Falzon, Christopher",Bloomsbury Academic,2024,단행본,1관3층 일반도서 [194 F762FZ]정리중
Confronting China,"Anderson, James H.",Bloomsbury Academic,2024,단행본,2관3층 일반도서 [355.0310973 C748]정리중
Ecolinguistics and environment in education,"Bellewes, Emile",Bloomsbury Academic,2024,단행본,2관3층 일반도서 [306.44 B442e]정리중
길가메쉬,"Harder, Jens",마르코폴로,2024,단행본,1관3층 대형도서 [대 892.1 G473HA K]정리중
이것이 새입니까? : 브랑쿠시와 세기의 재판,"Nebbache, Arnaud",바람북스,2024,단행본,2관5층 일반도서 [741.5944 N358b K]대출중
긍정정서치료 : 우울과 불안에 대한 새로운 접근 : 워크북,"Meuret, Alicia E",학지사,2024,단행본,2관4층 일반도서 [616.8527 P855 K]대출가능
모든 날이 은혜스럽다,김병삼,두란노서원,2024,단행본,1관3층 일반도서 [248.4 김445ㅁ]대출중
(한국에서 만나는) 세계 거장들의 건축 : 정균영의 건축여행,정균영,더봄,2024,단행본,2관5층 일반도서 [720.2 정17ㅅ]대출중
너무나 정치적인 시골살이 : 망해가는 세계에서 더 나은 삶을 지어내기 위하여,양미,동녘,2024,단행본,2관3층 일반도서 [307.72 양39ㄴ]대출중
갈릴래아 예수 : 가난한 사람들과 예수의 갈등,김근수,동연,2024,단행본,1관3층 일반도서 [232 김18 v.1]대출중
천 번을 흔들리며 아이는 어른이 됩니다 : 사춘기 성장 근육을 키우는 뇌·마음 만들기,김붕년,21세기북스 : 북이십일,2024,단행본,2관4층 일반도서 [649.125 김47ㅊ]대출중
로미오와 줄리엣,"Shakespeare, William",올리버 : 탐나는책,2024,단행본,2관6층 일반도서 [822.33 U3 K/2024]정리중
HRD 연구방법론,김태성,박영story : 피와이메이트,2024,단행본,2관5층 일반도서 [658.3124 H8733]정리중
미스 몰,"Young, E. H",휴머니스트출판그룹,2024,단행본,2관6층 일반도서 [823.912 Y71m K]정리중
사생아,"Olivier, Edith",휴머니스트출판그룹,2024,단행본,2관6층 일반도서 [823.912 O 49 l K]정리중
중국소설사 연구,소천 환수,한국문화사,2024,단행본,2관5층 일반도서 [812.3009 소813ㅈ K]정리중
영화는 역사가 아니다 : 한국 현대사 영화는 어떻게 관객을 사로잡았나,정영권,한국문화사,2024,단행본,2관5층 일반도서 [791.430951 영963]정리중
포스트시네마가 사유하는 인공지능,장미화,한국문화사,2024,단행본,2관5층 일반도서 [791.4302 장39ㅍ]정리중
民法原論 / 제4판,지원림,弘文社,2024,단행본,법학전문도서관 단행본서가 [LA 346.51 지67ㅁㅇ 2024]정리중
중대재해 사고백서 : 2024 우연히 일어난 사고는 없다 /[,남지윤,큐라인 : 고용노동부,2024,단행본,2관4층 일반도서 [620.86 중222]정리중
와인과 페어링 : 슬기로운 방구석 와인 생활2,임승수,수오서재,2024,단행본,2관4층 일반도서 [641.22 임58ㅇㄱ]대출중
"진료실 자본론 : 어느 개원의의 고민, 히포크라테스냐 자영업자냐, 그것이 문제로다",전영웅,청아출판사,2024,단행본,2관3층 일반도서 [362.11068 전64ㅈ]대출중
불교경제학,클레어 브라운,운주사,2024,단행본,중앙도서관 [ ]정리중
"이스라엘 대사가 들려주는 창세기, 위대한 시작의 이야기",아키바 토르,미래사,2024,단행본,중앙도서관 [ ]정리중
모든 것이 은총인 것을,박찬호,수원가톨릭대학교출판부,2024,단행본,중앙도서관 [ ]정리중
통감부의 계몽과 교육,임상석,보고사,2024,단행본,중앙도서관 [ ]정리중
입중론일광소1,이씨펑춰 켄포,문진,2024,단행본,중앙도서관 [ ]정리중
校勘標點 退溪全書1,李混,퇴계학연구원,2024,단행본,중앙도서관 [ ]정리중
校勘標點 退溪全書2,李混,퇴계학연구원,2024,단행본,중앙도서관 [ ]정리중
